2025.05.07 08:23:27 INFO  web[][DbMigrations] #6103 'Create column quick_fix_available in 'issues''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6103 'Create column quick_fix_available in 'issues'': success | time=10ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6104 'Create qgate_user_permissions Table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6104 'Create qgate_user_permissions Table': success | time=17ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6105 'Create qgate_group_permissions Table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6105 'Create qgate_group_permissions Table': success | time=17ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6106 'Create column sonarlint_ad_seen in 'users''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6106 'Create column sonarlint_ad_seen in 'users'': success | time=10ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6107 'Upsert value of sonarlint_ad_seen in 'users''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6107 'Upsert value of sonarlint_ad_seen in 'users'': success | time=4ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6108 'Change size of column 'kee' in 'components''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6108 'Change size of column 'kee' in 'components'': success | time=6ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6109 'Create table 'portfolio_proj_branches''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6109 'Create table 'portfolio_proj_branches'': success | time=12ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6110 'Add column 'branch_key' to table 'portfolios''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6110 'Add column 'branch_key' to table 'portfolios'': success | time=9ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6111 'Change size of column 'kee' in 'components''...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6111 'Change size of column 'kee' in 'components'': success | time=6ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6112 'Create 'project_badge_token' Table'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6112 'Create 'project_badge_token' Table': success | time=12ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6113 'Deprecate quality profile 'Sonar way Recommended' for js and ts'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6113 'Deprecate quality profile 'Sonar way Recommended' for js and ts': success | time=8ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6114 'Drop the 'sonar.lf.aboutText' property value'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6114 'Drop the 'sonar.lf.aboutText' property value': success | time=3ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6201 'Fix usage of deprecated column in MSSQL'...
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6201 'Fix usage of deprecated column in MSSQL': success | time=3ms
2025.05.07 08:23:27 INFO  web[][DbMigrations] #6202 'Drop index 'uniq_portfolio_references''...
